,과목이름,교수님,평점,과제,팀플,학점 비율
0,HTM 컴퓨터프로그래밍,공성곤,5,보통,없음,학점느님
1,창업과기업가정신2,공성곤,4,보통,없음,학점느님
2,전산개론-O,공성곤,2.17,보통,없음,비율 채워줌
3,소프트웨어특강2,공성곤,1,보통,보통,F 폭격기
4,알고리즘및실습,국형준,4.14,보통,없음,비율 채워줌
5,프로그래밍입문-P,국형준,4,보통,없음,비율 채워줌
6,고급프로그래밍입문-C,국형준,4,많음,없음,비율 채워줌
7,자료구조및실습,국형준,3.77,보통,없음,비율 채워줌
8,소프트웨어기초코딩,국형준,2.81,많음,없음,비율 채워줌
9,데이터구조론,국형준,2,보통,없음,비율 채워줌
10,졸업연구및진로2,김영복,4,보통,없음,학점느님
11,컴퓨터네트워크,김영복,3.97,많음,보통,학점느님
12,웹프로그래밍,김영복,2.82,보통,보통,학점느님
13,소프트웨어특강2,김영복,1,보통,보통,비율 채워줌
14,신입생세미나,김용국,3,없음,없음,학점느님
15,HCI개론,김용국,2.22,없음,없음,학점느님
16,디지털시스템,김용국,1.7,보통,보통,매우 깐깐함
17,인공지능,김용국,1,보통,많음,매우 깐깐함
18,확률및통계,김해광,5,보통,없음,비율 채워줌
19,대학생활과진로설계,김해광,5,보통,보통,학점느님
20,확률통계및프로그래밍,김해광,4.77,보통,없음,학점느님
21,멀티미디어,김해광,4.5,보통,없음,비율 채워줌
22,이산수학및프로그래밍,김해광,4.24,보통,없음,학점느님
23,C프로그래밍및실습,나중채,5,많음,없음,비율 채워줌
24,자료구조및실습,나중채,4.63,보통,없음,학점느님
25,알고리즘및실습,나중채,4.06,보통,없음,비율 채워줌
26,졸업연구및진로1,나중채,4,보통,보통,학점느님
27,대학생활과진로설계,노재춘,5,보통,없음,학점느님
28,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
29,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
30,자료구조및실습,노재춘,4.29,보통,없음,학점느님
31,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
32,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
33,디지털시스템,문승빈,3.6,보통,보통,학점느님
34,컴퓨터구조론,문승빈,3.25,보통,없음,학점느님
35,컴퓨터구조,문승빈,2.67,보통,없음,비율 채워줌
36,대학생활과진로설계,문현준,5,없음,없음,학점느님
37,모바일프로그래밍,문현준,4,보통,많음,비율 채워줌
38,Capstone디자인(산학협력프로젝트),문현준,3.5,보통,보통,학점느님
39,컴퓨터구조론,문현준,3,많음,없음,비율 채워줌
40,영상처리,문현준,2.5,없음,없음,비율 채워줌
41,컴퓨터구조,문현준,2.06,보통,없음,비율 채워줌
42,오픈소스SW개론,문현준,1.44,없음,없음,비율 채워줌
43,컴퓨터구조,박기호,4.44,보통,없음,비율 채워줌
44,디지털시스템,박기호,4.24,보통,보통,비율 채워줌
45,컴퓨터구조론,박기호,4.17,보통,없음,비율 채워줌
46,멀티코어프로그래밍,박기호,4,보통,없음,학점느님
47,임베디드시스템,박기호,3,많음,보통,비율 채워줌
48,컴퓨터구조론,박우찬,5,보통,많음,학점느님
49,창업과기업가정신2,박우찬,4.74,보통,없음,학점느님
50,디지털시스템,박우찬,3.78,보통,보통,비율 채워줌
51,컴퓨터구조,박우찬,3.29,보통,보통,비율 채워줌
52,대학생활과진로설계,박태순,5,없음,없음,학점느님
53,C프로그래밍및실습,박태순,4.62,보통,없음,비율 채워줌
54,고급C프로그래밍및실습,박태순,4.56,보통,없음,비율 채워줌
55,운영체제,박태순,3.94,보통,없음,비율 채워줌
56,Unix프로그래밍,박태순,3.6,보통,보통,비율 채워줌
57,네트워크프로그래밍,신동규,4.25,보통,없음,학점느님
58,문제해결및실습:JAVA,신동규,4.17,많음,없음,학점느님
59,대학생활과진로설계,신동규,3,보통,없음,학점느님
60,문제해결및실습:JAVA,신동일,3.8,보통,없음,비율 채워줌
61,데이터베이스,신동일,3.65,보통,보통,학점느님
62,컴퓨터네트워크,양효식,3.42,보통,없음,비율 채워줌
63,확률통계및프로그래밍,양효식,2.6,보통,없음,학점느님
64,전산개론-I,양효식,2.5,보통,없음,비율 채워줌
65,Capstone디자인(산학협력프로젝트),양효식,2.5,많음,많음,매우 깐깐함
66,Capstone디자인(산학협력프로젝트),양효식,1,많음,많음,비율 채워줌
67,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
68,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
69,신입생세미나,유성준,5,보통,없음,학점느님
70,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
71,기계학습,유성준,2.83,많음,없음,비율 채워줌
72,신입생세미나1,유영환,5,없음,없음,학점느님
73,선형대수및프로그래밍,유영환,4.9,보통,없음,학점느님
74,통신시스템,유영환,4.47,보통,없음,학점느님
75,무선통신,유영환,4.4,보통,없음,학점느님
76,확률통계및프로그래밍,유영환,3.96,보통,없음,학점느님
77,신호및시스템,유영환,3.82,보통,없음,학점느님
78,신입생세미나,윤은일,5,보통,없음,학점느님
79,데이터베이스,윤은일,4,많음,없음,비율 채워줌
80,XML프로그래밍,윤은일,1,많음,없음,학점느님
81,선형대수,이영렬,5,보통,없음,학점느님
82,선형대수및프로그래밍,이영렬,4.62,보통,없음,학점느님
83,영상처리,이영렬,4.5,보통,없음,비율 채워줌
84,신호및시스템,이영렬,4.18,보통,없음,학점느님
85,디지털신호처리,이영렬,3.83,많음,없음,비율 채워줌
86,대학생활과진로설계,이영렬,3,보통,보통,학점느님
87,신입생세미나,최수미,5,보통,보통,학점느님
88,소프트웨어공학,최수미,3,보통,보통,비율 채워줌
89,컴퓨터그래픽스,최수미,2.67,보통,없음,비율 채워줌
90,가상현실,최수미,1.75,보통,많음,비율 채워줌
91,Capstone디자인(산학협력프로젝트),한동일,5,많음,많음,학점느님
92,영상처리,한동일,4.5,보통,없음,비율 채워줌
93,C프로그래밍및실습,한동일,4.25,보통,없음,비율 채워줌
94,문제해결및실습:JAVA,한동일,3.78,보통,보통,비율 채워줌
95,VHDL프로그래밍,한동일,3.25,많음,많음,학점느님
96,고급C프로그래밍및실습,한동일,3,보통,없음,비율 채워줌
97,ES-영상처리소프트웨어,한동일,3,보통,보통,비율 채워줌
98,Capstone디자인(산학협력프로젝트),한동일,1.8,많음,많음,매우 깐깐함
99,공학설계기초,장윤,5,많음,많음,학점느님
100,데이터시각화,장윤,3,많음,보통,비율 채워줌
101,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
102,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
103,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
104,대학생활과진로설계,장윤,1,보통,보통,학점느님
105,창업과기업가정신2,권기학,3.83,보통,없음,학점느님
106,Capstone디자인(산학협력프로젝트),권기학,3.5,보통,보통,학점느님
107,특허와창업,권기학,3,보통,보통,매우 깐깐함
108,공학설계기초(산학프로젝트입문),권기학,2.36,많음,많음,비율 채워줌
109,Capstone디자인(산학협력프로젝트),권기학,1.8,많음,많음,매우 깐깐함
110,고급C프로그래밍및실습,김문석,2.67,보통,없음,비율 채워줌
111,C#프로그래밍,김문석,2.6,보통,없음,비율 채워줌
112,C프로그래밍및실습,김천식,4.89,보통,없음,비율 채워줌
113,고급C프로그래밍및실습,김천식,4.33,보통,없음,비율 채워줌
114,바리스타및음료실습2,이수정,5,보통,없음,학점느님
115,고등교육론,이수정,4.67,보통,보통,비율 채워줌
116,교육학의탐구,이수정,4.63,보통,보통,비율 채워줌
117,교육행정의이론과실제,이수정,4.33,보통,보통,비율 채워줌
118,대학의이해,이수정,4.29,보통,보통,비율 채워줌
119,바리스타및음료실습1,이수정,4.17,보통,보통,학점느님
120,현대인의삶과와인,이수정,4,없음,없음,비율 채워줌
121,Capstone디자인(산학협력프로젝트),이수정,2.5,많음,많음,매우 깐깐함
122,공업수학1,이수정,2.48,보통,없음,F 폭격기
123,자료구조및실습,이수정,2.33,보통,없음,비율 채워줌
124,소프트웨어특강2,Abolghasem Sadeghi-Niaraki,3.5,많음,없음,학점느님
125,공학설계기초(산학프로젝트입문),Abolghasem Sadeghi-Niaraki,2.14,많음,많음,비율 채워줌
126,소프트웨어특강1,Abolghasem Sadeghi-Niaraki,1,많음,보통,매우 깐깐함
127,웹프로그래밍,Abolghasem Sadeghi-Niaraki,1,보통,보통,학점느님
128,프로그래밍언어의개념,Anish Prasad Shrestha,4.8,보통,없음,학점느님
129,이산수학및프로그래밍,Anish Prasad Shrestha,3.86,보통,보통,학점느님
130,공업수학1,Anish Prasad Shrestha,3.75,보통,없음,비율 채워줌
131,HCI개론,Muhammad Raheel Bhutta,5,없음,없음,학점느님
132,운영체제,Muhammad Raheel Bhutta,4.67,보통,없음,비율 채워줌
133,문제해결및실습:C++,Muhammad Raheel Bhutta,3.5,보통,없음,비율 채워줌
134,데이터베이스,Muhammad Raheel Bhutta,2,많음,없음,비율 채워줌
135,무선통신,Nhu Ngoc DAO,4,보통,보통,학점느님
136,공학설계기초(산학프로젝트입문),Nhu Ngoc DAO,3.33,없음,없음,매우 깐깐함
137,멀티미디어,Shake Md Riazul Islam,4.5,보통,보통,학점느님
138,확률통계및프로그래밍,Shake Md Riazul Islam,4.25,보통,보통,학점느님
139,영상처리,Shake Md Riazul Islam,4,보통,없음,학점느님
140,문제해결및실습:C++,Shake Md Riazul Islam,2,보통,없음,학점느님
141,C#프로그래밍,Rajendra Dhakal,5,보통,없음,비율 채워줌
142,문제해결및실습:C++,Rajendra Dhakal,4.5,보통,없음,비율 채워줌
143,소프트웨어공학,Rajendra Dhakal,4,보통,보통,비율 채워줌
144,디지털시스템,Rajendra Dhakal,4,보통,없음,비율 채워줌
145,문제해결및실습:JAVA,Rajendra Dhakal,3.5,보통,보통,비율 채워줌
146,C프로그래밍및실습,Rajendra Dhakal,1.67,보통,보통,비율 채워줌
147,고급C프로그래밍및실습,김도년,4.27,보통,없음,비율 채워줌
148,디지털시스템,김도년,4.22,보통,없음,비율 채워줌
149,C프로그래밍및실습,김도년,3.92,보통,없음,비율 채워줌
150,고급프로그래밍입문-P,김도년,3,보통,없음,매우 깐깐함
151,고급프로그래밍입문-C,김도년,2.6,보통,없음,비율 채워줌
152,C#프로그래밍,김도년,2.5,보통,없음,비율 채워줌
153,고급프로그래밍입문-P,김도년,1.4,보통,없음,매우 깐깐함
154,C프로그래밍,임필옥,5,보통,없음,학점느님
155,자료구조및실습,임필옥,5,보통,없음,비율 채워줌
156,알고리즘및실습,임필옥,4.91,보통,없음,비율 채워줌
157,고급C프로그래밍및실습,임필옥,4.86,많음,없음,비율 채워줌
158,C프로그래밍및실습,임필옥,4.64,보통,없음,비율 채워줌
159,마이크로컴퓨터,송상훈,5,보통,많음,비율 채워줌
160,디지털시스템,송상훈,4.86,보통,보통,비율 채워줌
161,컴퓨터구조,송상훈,4.57,보통,없음,학점느님
162,컴퓨터구조론,송상훈,4.25,보통,보통,비율 채워줌
163,고급프로그래밍입문-C,송상훈,3.64,많음,없음,비율 채워줌
164,고급프로그래밍입문-C,송상훈,2,보통,없음,매우 깐깐함
165,선형대수,노용덕,5,보통,없음,학점느님
166,C#프로그래밍,노용덕,3,보통,없음,비율 채워줌
167,확률및통계,노용덕,3,없음,없음,학점느님
168,취업역량개발론,권순일,5,없음,없음,학점느님
169,패턴인식개론,권순일,4.5,없음,보통,학점느님
170,Capstone디자인(산학협력프로젝트),권순일,4,보통,보통,비율 채워줌
171,디지털사운드,권순일,3.83,보통,없음,비율 채워줌
172,Capstone디자인(산학협력프로젝트),권순일,2.5,없음,많음,매우 깐깐함
173,패턴인식,권순일,1.5,많음,없음,매우 깐깐함
174,인공지능,김원일,2.5,없음,없음,비율 채워줌
175,HCI개론,김원일,2.5,보통,없음,비율 채워줌
176,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
177,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
178,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
179,운영체제,김원일,2,없음,없음,비율 채워줌
180,K-MOOC:코딩과스토리텔링,백성욱,4.72,보통,없음,학점느님
181,소프트웨어기초코딩,백성욱,3.68,많음,없음,비율 채워줌
182,컴퓨팅사고기반기초코딩,백성욱,3.18,보통,없음,비율 채워줌
183,프로그래밍입문-P,백성욱,2.85,많음,없음,매우 깐깐함
184,ES-기초프로그래밍,이종원,5,많음,없음,학점느님
185,ES-비주얼프로그래밍,이종원,4.5,보통,보통,학점느님
186,고급프로그래밍입문-C,이종원,4.33,보통,없음,비율 채워줌
187,컴퓨터그래픽스1,이종원,4,보통,없음,비율 채워줌
188,고급프로그래밍입문,이종원,4,보통,없음,비율 채워줌
189,선형대수,이종원,4,보통,보통,비율 채워줌
190,ES-엔터테인먼트SW미디어프로젝트캡스톤디자인,이종원,4,많음,많음,비율 채워줌
191,가상현실,이종원,3.5,보통,보통,매우 깐깐함
192,소프트웨어기초코딩,이종원,3.4,보통,없음,비율 채워줌
193,전산개론-C,이종원,3.33,많음,없음,매우 깐깐함
194,선형대수및프로그래밍,이종원,3.05,많음,없음,매우 깐깐함
195,ES-비주얼프로그래밍,이종원,3,많음,보통,비율 채워줌
196,고급프로그래밍입문-C,이종원,3,많음,없음,비율 채워줌
197,SM-소셜미디어기초프로그래밍,이종원,3,보통,없음,매우 깐깐함
198,고급프로그래밍입문-C,이종원,2.61,보통,없음,비율 채워줌
199,대학생활과진로설계,이종원,2,없음,없음,학점느님
200,고급프로그래밍입문-C,이종원,2,보통,없음,매우 깐깐함
201,졸업연구및진로2,송오영,5,없음,없음,학점느님
202,졸업연구및진로1,송오영,5,없음,없음,비율 채워줌
203,알고리즘,송오영,4,보통,보통,비율 채워줌
204,알고리즘및실습,송오영,3.9,보통,없음,비율 채워줌
205,고급프로그래밍입문-P,송오영,3.75,보통,없음,학점느님
206,K-MOOC:일반인을위한물리코딩,송오영,3.7,보통,없음,학점느님
207,일반물리및시뮬레이션,송오영,3.29,보통,없음,비율 채워줌
208,컴퓨터그래픽스,송오영,3.27,보통,없음,비율 채워줌
209,컴퓨팅사고기반기초코딩,송오영,3,보통,없음,비율 채워줌
210,고급프로그래밍입문-P,송오영,2.67,보통,보통,비율 채워줌
211,데이터구조론,최준연,5,많음,없음,비율 채워줌
212,SW설계기초(산학프로젝트입문),최준연,4.4,많음,많음,비율 채워줌
213,자료구조및실습,최준연,4.31,보통,없음,비율 채워줌
214,문제해결및실습:C++,박상일,4.66,보통,없음,비율 채워줌
215,멀티미디어프로그래밍,박상일,4.52,보통,없음,비율 채워줌
216,컴퓨터그래픽스2,박상일,4.5,보통,없음,비율 채워줌
217,JAVA프로그래밍,박상일,4,보통,없음,비율 채워줌
218,문제해결및실습:JAVA,박상일,3.85,많음,없음,비율 채워줌
219,앱프로그래밍,변재욱,5,보통,없음,학점느님
220,데이터베이스프로그래밍,변재욱,5,없음,없음,학점느님
221,데이터분석,변재욱,5,보통,없음,학점느님
222,데이터베이스,변재욱,5,보통,없음,학점느님
223,통계학개론,Farman ALI,5,보통,없음,학점느님
224,수치해석,Farman ALI,4.8,보통,없음,비율 채워줌
225,확률통계및프로그래밍,Maqbool Hussain,4.75,보통,없음,비율 채워줌
226,공업수학1,Maqbool Hussain,4.08,보통,없음,비율 채워줌
227,멀티미디어,Maqbool Hussain,3.4,보통,없음,비율 채워줌
228,데이터베이스,Maqbool Hussain,3,보통,보통,비율 채워줌
229,공업수학1,Muhammad Afzal,4.7,보통,없음,학점느님
230,알고리즘및실습,Muhammad Afzal,4.5,보통,없음,비율 채워줌
231,확률통계및프로그래밍,Muhammad Afzal,4,보통,없음,비율 채워줌
232,이산수학및프로그래밍,Muhammad Afzal,3.68,보통,없음,학점느님
233,선형대수및프로그래밍,Muhammad Attique,4.2,보통,없음,비율 채워줌
234,확률통계및프로그래밍,MUHAMMAD Khan,4.33,보통,없음,학점느님
235,프로그래밍,MUHAMMAD Khan,2,보통,없음,비율 채워줌
236,통계학개론,MUHAMMAD Khan,1.5,보통,없음,비율 채워줌
237,인공지능,김원일,2.5,없음,없음,비율 채워줌
238,HCI개론,김원일,2.5,보통,없음,비율 채워줌
239,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
240,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
241,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
242,운영체제,김원일,2,없음,없음,비율 채워줌
243,대학생활과진로설계,노재춘,5,보통,없음,학점느님
244,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
245,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
246,자료구조및실습,노재춘,4.29,보통,없음,학점느님
247,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
248,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
249,네트워크프로그래밍,신동규,4.25,보통,없음,학점느님
250,문제해결및실습:JAVA,신동규,4.17,많음,없음,학점느님
251,대학생활과진로설계,신동규,3,보통,없음,학점느님
252,해석학개론2,하길찬,5,보통,없음,매우 깐깐함
253,기계학습(종합설계),하길찬,5,보통,없음,학점느님
254,선형대수학2,하길찬,5,보통,없음,비율 채워줌
255,선형대수학1,하길찬,4.56,보통,없음,비율 채워줌
256,전산수학실습,하길찬,4,많음,없음,비율 채워줌
257,해석학개론1,하길찬,3.8,보통,없음,비율 채워줌
258,미적분학및연습1,하길찬,3.5,보통,없음,비율 채워줌
259,전산수학실습1,하길찬,3.5,보통,없음,매우 깐깐함
260,졸업연구및진로2,김경중,5,없음,없음,학점느님
261,대학생활과진로설계,김경중,5,없음,없음,학점느님
262,C프로그래밍및실습,김경중,5,보통,없음,학점느님
263,K-MOOC:게임인공지능,김경중,5,없음,없음,학점느님
264,인공지능,김경중,3.5,보통,보통,비율 채워줌
265,ES-문화예술과ICT,김경중,3,보통,많음,비율 채워줌
266,전산개론-C,김경중,2.5,없음,없음,비율 채워줌
267,컴퓨터구조,김영갑,5,없음,없음,학점느님
268,대학생활과진로설계,김영갑,5,없음,없음,학점느님
269,문제해결및실습:JAVA,김영갑,4.57,보통,없음,학점느님
270,어셈블리어,김영갑,4.38,보통,없음,학점느님
271,데이터베이스보안,김영갑,3,보통,없음,비율 채워줌
272,어셈블리어,박기웅,5,많음,없음,비율 채워줌
273,임베디드시스템보안,박기웅,5,많음,보통,학점느님
274,Capstone디자인(산학협력프로젝트),박기웅,5,많음,많음,비율 채워줌
275,컴퓨터구조,박기웅,5,보통,없음,비율 채워줌
276,디지털포렌식,박기웅,4.5,보통,없음,비율 채워줌
277,오픈소스SW개론,박기웅,4,보통,보통,학점느님
278,졸업연구및진로1,송재승,5,없음,없음,학점느님
279,정보보호와보안의기초,송재승,4.67,보통,없음,학점느님
280,리눅스의기초및실습,송재승,4,보통,없음,비율 채워줌
281,오픈소스SW설계,송재승,4,보통,많음,비율 채워줌
282,운영체제,송재승,3.14,보통,없음,학점느님
283,K-MOOC:정보보호와보안의기초,송재승,2.8,많음,없음,비율 채워줌
284,고급프로그래밍입문-C,신지선,4,보통,없음,비율 채워줌
285,자료구조및실습,신지선,3.33,보통,보통,비율 채워줌
286,대학생활과진로설계,신지선,3,없음,없음,학점느님
287,알고리즘및실습,신지선,2.67,많음,없음,학점느님
288,고급프로그래밍입문-P,윤주범,5,보통,없음,학점느님
289,네트워크해킹과보안,윤주범,4,보통,없음,비율 채워줌
290,웹해킹과보안,윤주범,3.43,많음,없음,비율 채워줌
291,고급프로그래밍입문-P,윤주범,3.33,없음,없음,비율 채워줌
292,시스템해킹과보안,윤주범,3.17,보통,없음,비율 채워줌
293,인터넷보안,윤주범,3,보통,없음,비율 채워줌
294,고급프로그래밍입문-P,윤주범,3,없음,없음,학점느님
295,고급프로그래밍입문-P,윤주범,3,보통,없음,비율 채워줌
296,고급프로그래밍입문-P,윤주범,2.75,없음,없음,비율 채워줌
297,고급프로그래밍입문-P,윤주범,2.67,보통,보통,비율 채워줌
298,고급프로그래밍입문-P,윤주범,1.4,보통,없음,매우 깐깐함
299,고급프로그래밍입문-P,윤주범,1,보통,없음,매우 깐깐함
300,고급프로그래밍입문-P,윤주범,1,보통,없음,비율 채워줌
301,공개키암호론,이광수,4.58,보통,없음,학점느님
302,대칭키암호론,이광수,3.83,보통,없음,비율 채워줌
303,정수론,이광수,3.38,보통,없음,학점느님
304,C프로그래밍및실습,이광수,3,보통,없음,비율 채워줌
305,공학설계기초(산학프로젝트입문),이광수,2.65,보통,많음,비율 채워줌
306,창의SW융합노마드,이광수,2,많음,많음,학점느님
307,컴퓨터네트워크,이종혁,2.11,없음,없음,F 폭격기
308,네트워크해킹과보안,이종혁,1.5,없음,없음,매우 깐깐함
309,시스템프로그래밍,이종혁,1.4,보통,없음,매우 깐깐함
310,C프로그래밍및실습,이종혁,1,보통,없음,비율 채워줌
311,알고리즘및실습,이종혁,1,없음,없음,매우 깐깐함
312,공학설계기초,장윤,5,많음,많음,학점느님
313,데이터시각화,장윤,3,많음,보통,비율 채워줌
314,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
315,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
316,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
317,대학생활과진로설계,장윤,1,보통,보통,학점느님
318,운영체제,Lewis Nkenyereye,5,보통,없음,학점느님
319,오픈소스SW설계,Lewis Nkenyereye,3.67,많음,없음,학점느님
320,보안프로그래밍,Lewis Nkenyereye,3.33,많음,없음,매우 깐깐함
321,웹프로그래밍,Lewis Nkenyereye,3,보통,없음,비율 채워줌
322,컴퓨터네트워크,Lewis Nkenyereye,2,많음,없음,비율 채워줌
323,데이터베이스보안,Lewis Nkenyereye,1,보통,보통,학점느님
324,보안정책과법규,박대섭,4,많음,없음,비율 채워줌
325,사이버전개론,박대섭,3.91,보통,보통,비율 채워줌
326,인공지능,김원일,2.5,없음,없음,비율 채워줌
327,HCI개론,김원일,2.5,보통,없음,비율 채워줌
328,컴퓨터구조,김원일,2.5,없음,없음,비율 채워줌
329,컴퓨터네트워크,김원일,2.45,없음,없음,비율 채워줌
330,지능형시스템,김원일,2.33,없음,없음,비율 채워줌
331,운영체제,김원일,2,없음,없음,비율 채워줌
332,대학생활과진로설계,노재춘,5,보통,없음,학점느님
333,Unix프로그래밍,노재춘,4.92,보통,보통,학점느님
334,컴파일러,노재춘,4.57,보통,없음,비율 채워줌
335,자료구조및실습,노재춘,4.29,보통,없음,학점느님
336,C프로그래밍및실습,노재춘,3.75,보통,없음,비율 채워줌
337,운영체제,노재춘,3.27,많음,없음,매우 깐깐함
338,K-MOOC:코딩과스토리텔링,백성욱,4.72,보통,없음,학점느님
339,소프트웨어기초코딩,백성욱,3.68,많음,없음,비율 채워줌
340,컴퓨팅사고기반기초코딩,백성욱,3.18,보통,없음,비율 채워줌
341,프로그래밍입문-P,백성욱,2.85,많음,없음,매우 깐깐함
342,소프트웨어특강1,유성준,5,보통,없음,비율 채워줌
343,K-MOOC:파이썬을이용한기계학습개론,유성준,5,없음,없음,비율 채워줌
344,신입생세미나,유성준,5,보통,없음,학점느님
345,소프트웨어특강2,유성준,3.25,많음,없음,학점느님
346,기계학습,유성준,2.83,많음,없음,비율 채워줌
347,졸업연구및진로2,김경중,5,없음,없음,학점느님
348,대학생활과진로설계,김경중,5,없음,없음,학점느님
349,C프로그래밍및실습,김경중,5,보통,없음,학점느님
350,K-MOOC:게임인공지능,김경중,5,없음,없음,학점느님
351,인공지능,김경중,3.5,보통,보통,비율 채워줌
352,ES-문화예술과ICT,김경중,3,보통,많음,비율 채워줌
353,전산개론-C,김경중,2.5,없음,없음,비율 채워줌
354,공학설계기초,장윤,5,많음,많음,학점느님
355,데이터시각화,장윤,3,많음,보통,비율 채워줌
356,공학설계기초(산학프로젝트입문),장윤,2.96,많음,없음,학점느님
357,컴퓨터그래픽스,장윤,2.92,많음,없음,비율 채워줌
358,ES-웨어러블컴퓨터디자인,장윤,1,많음,많음,비율 채워줌
359,대학생활과진로설계,장윤,1,보통,보통,학점느님
360,데이터구조론,최준연,5,많음,없음,비율 채워줌
361,SW설계기초(산학프로젝트입문),최준연,4.4,많음,많음,비율 채워줌
362,자료구조및실습,최준연,4.31,보통,없음,비율 채워줌
363,데이터베이스,김미숙,5,많음,없음,비율 채워줌
364,기계학습,김미숙,5,많음,없음,비율 채워줌
365,고급기계학습,김미숙,4,많음,보통,학점느님
366,창의SW융합노마드,김미숙,3.75,많음,없음,학점느님
367,K-MOOC:기계학습,김미숙,2,보통,없음,매우 깐깐함
368,데이터분석개론,곽진태,3,보통,보통,비율 채워줌
369,C프로그래밍및실습,곽진태,2.8,보통,없음,비율 채워줌
370,고급C프로그래밍및실습,곽진태,2.5,많음,없음,비율 채워줌
371,패턴인식,곽진태,2,보통,보통,비율 채워줌
372,신입생세미나,이승원,5,보통,없음,학점느님
373,세종사회봉사1,이승원,5,없음,없음,학점느님
374,데이터문제해결및실습1,이승원,4.5,보통,없음,학점느님
375,운영체제,이승원,4.38,보통,없음,학점느님
376,대학생활과진로설계,이승원,4,없음,없음,학점느님
377,고급C프로그래밍및실습,이승원,3.88,보통,없음,학점느님
378,확률통계및프로그래밍,이승원,3.4,보통,없음,비율 채워줌
379,알고리즘및실습,이승원,3,없음,없음,학점느님
380,C프로그래밍및실습,이승원,2,많음,없음,F 폭격기
381,신입생세미나,오시몬,5,없음,없음,학점느님
382,웹프로그래밍,Jamil HUSSAIN,3,보통,보통,비율 채워줌
383,사물인터넷,김형석,5,보통,없음,학점느님
384,컴퓨터구조및운영체제,김형석,4.25,보통,없음,학점느님
385,창의융합노마드,김형석,3,보통,보통,학점느님
386,창의SW기초설계,김형석,3,없음,많음,학점느님
387,기초설계,김형석,1.71,많음,많음,비율 채워줌
388,통신시스템,이병무,5,보통,없음,학점느님
389,디지털신호처리,이병무,5,보통,없음,학점느님
390,이산수학및프로그래밍,이병무,4.33,보통,없음,학점느님
391,C프로그래밍및실습,이병무,4,보통,없음,학점느님
392,고급C프로그래밍및실습,이병무,4,많음,없음,비율 채워줌
393,선형대수및프로그래밍,이병무,3.8,보통,없음,비율 채워줌
394,확률통계및프로그래밍,이병무,3.25,보통,없음,비율 채워줌
395,고급프로그래밍입문-P,임유승,5,보통,없음,학점느님
396,창의SW융합노마드,임유승,5,보통,보통,학점느님
397,C프로그래밍및실습,임유승,4.47,보통,없음,비율 채워줌
398,고급C프로그래밍및실습,임유승,4,보통,없음,비율 채워줌
399,전자회로,임유승,4,보통,없음,학점느님
400,물리전자공학,임유승,4,보통,없음,비율 채워줌
401,전기회로실험,임유승,2.2,많음,없음,매우 깐깐함
402,창의SW융합노마드,박성훈,5,없음,없음,학점느님
403,센서소자및시스템,박성훈,5,없음,없음,학점느님
404,반도체공정,박성훈,4.5,보통,없음,학점느님
405,창의융합노마드,박성훈,4,보통,많음,학점느님
406,선형대수및프로그래밍,박성훈,3.5,보통,없음,학점느님
407,선형대수,박성훈,3,없음,없음,학점느님
408,고급프로그래밍입문-P,박성훈,3,없음,없음,학점느님
409,공업수학1,박성훈,2.83,없음,없음,비율 채워줌
410,C프로그래밍및실습,박성훈,2.5,보통,없음,비율 채워줌
411,반도체소자,박성훈,2,없음,없음,비율 채워줌
412,프로그래밍입문-P,박성훈,1,보통,없음,비율 채워줌
413,동역학,송진우,5,보통,없음,비율 채워줌
414,전기회로실험,송진우,5,많음,없음,학점느님
415,신입생세미나,송진우,5,없음,없음,학점느님
416,창의SW기초설계,송진우,5,보통,보통,학점느님
417,취창업과진로설계,송진우,4.88,보통,없음,학점느님
418,창업과기업가정신2,송진우,4.83,보통,없음,학점느님
419,자동제어,송진우,4.8,보통,없음,학점느님
420,전기회로,송진우,4.75,많음,없음,학점느님
